keys,en,it,es,pt_BR,fr,nl,ar,ru,de,zh
BAT_DESC,"A blood-sucking creature.
Does not harm anyone unless provoked.","Una creatura succhiasangue.
Non attacca se non provocata.","Una criatura chupasangre.
No hiere a nadie a menos que se le provoque.","Uma criatura sugadora de sangue.
Não faz mal a ninguém, a menos que seja provocada.",,"Een bloedzuigend beest.
Doet niet aanvallen behalve als je het uitlokt.",,"Питающееся кровью существо.
Безобидно, если его не спровоцировать.",,"一种嗜好吸血的生物。
不过除非被挑衅，否则不会主动作出攻击。"
AXE_ARMOR_DESC,"An armor given life with dark magic.
Throws axes towards whoever comes close to it.","Un'armatura a cui è stata data la vita tramite magia nera.
Lancia asce a chiunque provi ad avvicinarsi ad essa.","Una armadura otorgada vida gracias a magia oscura.
Lanza hachas hacia cualquiera que se acerca.","Uma armadura trazida à vida por magia negra.
Lança machados contra quem ousar se aproximar.",,"Een harnas die het leven werd gegeven door zwarte magie.
Gooit een bijl naar iedereen die dichtbij komt.",,"Доспехи, оживлённые с помощью тёмной магии.
Бросает топоры в любого, кто приблизится к ним.",,"一套被黑暗魔法赋予生命的铠甲。
当有东西接近它时它会投出手中的斧头。"
GHOST_DESC,The resonance of a soul who rejected eternal rest.,La risonanza di un'anima che ha rifiutato il riposo eterno.,La resonancia de una alma que rechazó descanso eterno.,O eco de uma alma que rejeitou o descanso eterno,,De weerklank van een ziel die zijn eeuwige rust verwierp.,,"Душа, отвергшая вечный покой.",,拒绝永恒安息的灵魂的回响。
SLINGER_DESC,A special kind of skeleton that throws ribs horizontally as a way of harming living creatures.,"Un tipo speciale di scheletro che, come modalità di attacco, decide di lanciare le sue costole.",Un tipo especial de esqueleto que lanza costillas horizontalmente como manera de herir criaturas vivientes.,Um tipo especial de esqueleto que arremessa costelas em linha reta para ferir criaturas vivas.,,Een speciaal soort skelet dat zijn ribben horizontaal gooit om levende wezens pijn te doen.,,"Особый тип скелета, выбрасывающий рёбра горизонтально, дабы причинить вред живым существам.",,一种特别的骷髅，会向前方投掷肋骨作为攻击手段。
BONE_SCIMITAR_DESC,"A skeleton equipped with shield and sword.
A bit more resilient than other types of skeleton.","Uno scheletro armato di spada e scudo.
Un po' più resistente rispetto ad altri tipi di scheletro.","Un esqueleto equipado con un escudo y espada.
Es un poco más resistente que otros tipos de esqueleto.","Um esqueleto equipado com espada e escudo.
Um pouco mais resistente que outros tipos de esqueleto.",,"Een skelet met een schild en zwaard.
Houd het wat langer uit dan anderen soorten skeletten.",,"Скелет, вооруженный щитом и мечом.
Немного более стойкий, чем другие типы скелетов.",,"一种装备护盾与佩剑的骷髅。
比其他的骷髅更加强韧。"
ARMOR_KNIGHT_DESC,"An armored guard equipped with a long spear.
Becomes a threat if challenged from different heights.","Una guardia corazzata ed armata con una lancia lunga.
Diventa pericoloso se posizionato ad alture diverse.","Un guardia blindado equipado con una lanza larga.
Se vuelve una amenaza si es desafiado desde diferentes alturas.","Um guarda blindado equipado com uma longa lança.
Torna-se uma ameaça quando desafiado em diferentes alturas.",,"Een bepanserde wachter die een lange speer heeft.
Wordt gevaarlijk als je het gevecht aangaat op verschillende hoogtes.",,"Закованный в броню стражник, вооруженный длинным копьем.
Становится опасным, если бросить ему вызов с другой высоты.",,"一种配备长矛的装甲护卫。
当与其位置产生高低差时它会更具威胁性。"
BONE_PILLAR_DESC,"The skull of a dragon which can now shoot fireballs.
Dangerous when multiple skulls are stacked on top of each other.","Il teschio di un drago che può sputare palle di fuoco.
Pericoloso quando molti teschi formano una torre.","El cráneo de un dragón que ahora puede disparar bolas de fuego.
Peligroso cuando múltiples cráneos se apilan uno encima del otro.","O crânio de um dragão que agora pode disparar bolas de fogo.
Torna-se perigoso quando vários crânios estão empilhados uns sobre os outros.",,"De schedel van een draak die nu vuurballen kan schieten.
Gevaarlijk wanneer er meerdere schedels op elkaar gestapeld zijn.",,"Череп дракона, способный стрелять огненными шарами.
Особенно опасно, когда несколько черепов сложены друг на друга.",,"被注入魔力而苏生的古代恐龙的头骨，可以发射火焰弹。
当多个头骨垒成一串时会更具威胁性。"
ARMOR_LORD_DESC,"The armor of a high level guardian.
Its attacks are deadly and can produce waves of fire.","L'armatura di un guardiano di alto livello.
I suoi attacchi sono micidiali e può produrre onde di fuoco.","La armadura de un guardián de alto nivel.
Sus ataques son mortales y pueden producir ondas de fuego.","A armadura de um guardião de alto nível.
Seus ataques são mortais e podem gerar ondas de fogo.",,"Het harnas van een hoge orde wachter.
De aanvallen zijn dodelijk en kunnen golven van vuur veroorzaken.",,"Броня сильного стража.
Его атаки смертоносны и могут вызывать волны огня.",,"一位高级护卫曾装备的铠甲。
它的攻击迅猛，而且可以发射火波。"
DULLAHAN_DESC,"The knight of legends, manipulated by a vampire who promised to find a way to attach his head to the body.","Il cavaliere delle leggende, manipolato da un vampiro che ha promesso di trovare un modo per riattaccare la sua testa al corpo.","El caballero de legendas, manipulado por un vampiro que le prometió una manera de unir su cabeza al cuerpo.","O cavaleiro das lendas, manipulado por um vampiro que prometeu encontrar uma maneira de unir sua cabeça ao corpo.",,"De ridder der legendes, gemanipuleerd door een vampier die een oplossing beloofde om zijn hoofd aan zijn lichaam te hechten.",,"Рыцарь из легенд, которым манипулировал вампир, обещавший найти способ прикрепить его голову к телу.",,传说中的骑士，被一位承诺可以找回他失去的头颅的的吸血鬼所操纵。
UNE_DESC,"A man-eating plant, commonly found in large forests filled with dark energy.","Una pianta mangiauomini.
Spesso si trova nelle grandi foreste che emanano energia oscura.","Una planta devoradora de hombres.
Comúnmente encontrada en bosques grandes llenos de energía oscura.","Uma planta devoradora de homens, encontrada comumente em grandes florestas cheias de energia sombria.",,"Een mens-etende plant, vaak te vinden in grote bossen gevuld met duistere energie.",,"Растение-людоед, обычно встречающееся в больших лесах, наполненных тёмной энергией.",,一种食人植物，通常会在被暗黑力量所影响的森林地带繁衍。
BANSHEE_DESC,"The spirit of a woman who once died after being accused of being a witch.
Its scream releases so much agony that physical defense is pierced.","Lo spirito di una donna uccisa sotto l'accusa di stregoneria.
Il suo urlo è così pieno di agonia che spezza la guardia fisica.","El espíritu de una mujer que murió tras ser acusada de brujería.
Su grito libera tanta agonía que traspasa las defensas físicas.","O espírito de uma mulher que morreu após ser acusada de bruxaria.
Seu grito libera tamanha agonia que perfura qualquer defesa física.",,"De geest van een vrouw die ooit dood ging na veroordeeld te zijn als heks.
Haar schreeuwen laten zo veel zielsangst vrij dat het door fysieke verdediging heengaat.",,"Дух женщины, которая когда-то умерла после обвинения в том, что она ведьма.
В её крике столько боли, что он пронзает душу.",,"曾被指控为女巫而死的女人的灵魂。
她的尖叫声释放出如此巨大的痛苦，足以穿透任何肉体的防御。"
BLACK_PANTHER_DESC,"A fast panther, hard to see due to its pitch-black fur.","Una pantera veloce, difficile da vedere a causa della sua pelliccia nera.","Una pantera veloz, difícil de ver debido a su pelaje negro.","Uma pantera veloz, difícil de ver devido à sua pelagem negro-azeviche.",,"Een snelle panter, moeilijk om te zien door de pikke donkere vacht.",,"Быстрая пантера, которую трудно разглядеть из-за её чёрного меха.",,迅猛的豹子，因为它的黑色皮毛所以在暗处很难分辨身形。
BLACK_CROW_DESC,"A crow that appears when there are many lost souls in a single place.
A clear proof that if you see one, then there has been a catastrophe.","Un corvo che compare soltanto quando tante anime perse si riuniscono in un luogo preciso. Se ne trovi uno, vuol dire che si è verificata una catastrofe.","Un cuervo que aparece cuando hay muchas almas perdidas en un solo lugar.
Clara evidencia de que si ves uno, ha habido una catástrofe.","Um corvo que aparece quando há muitas almas perdidas em um único lugar.
Uma prova clara de que, ao vê-lo, houve uma catástrofe.",,"Een kraai die tevoorschijnkomt wanneer er veel verloren zielen zijn op een enkele plaats.
Duidelijk bewijs dat als je een ziet, er daar een catastrofe ooit is gebeurd.",,"Ворона, которая появляется, когда в одном месте собирается много заблудших душ.
Если вы видите её, значит, произошла катастрофа.",,"一种特殊的乌鸦，常在游离的亡魂大量聚集的地方活动。
这清楚地表明，如果你看到它，就意味着灾难已经发生。"
SLAUGHTERER_DESC,"A failed experiment of transmutation, resulting in this being.
Hostile towards everything, punches and spits fireballs.","Il risultato di un esperimento di trasmutazione fallito.
Feroce contro ogni cosa, tira pugni e sputa palle di fuoco.","Un experimento fallido de transmutación, resultando en este ser.
Hostil contra todo, tira puñetazos y dispara bolas de fuego.","Um experimento de transmutação mal-sucedido, que resultou neste ser.
Hostil a tudo, desferindo socos e cuspindo bolas de fogo.",,"Een gefaald experiment van vormveranderingen, resulterend in een wezen.
Vijandig tegen alles, stoot en spuugt vuurballen.",,"Результат неудачного эксперимента по трансмутации.
Враждебен ко всему, бьёт кулаками и плюётся огненными шарами.",,"由一次失败的炼金术变异实验，产生了这种生物。
憎恨所有的生物，会挥拳或者喷火弹袭击他们。"
FLOATING_SKULL_DESC,"This is not a real skull, but a manifestation of an evil being.
It appears when darkness surrounds a place.","Non è un vero teschio, ma la rappresentazione di un essere malvagio.
Compare quando un luogo è coperto dalle tenebre.","Este no es un cráneo real, pero la manifestación de un ser malvado.
Aparece cuando la oscuridad rodea un lugar.","Não é um crânio de verdade, mas a manifestação de um ser maligno.
Ele aparece quando trevas envolvem um lugar.",,"Dit is niet een echte schedel, maar een manifestatie van een kwaadaardig wezen.
Het komt tevoorschijn wanneer duisternis een plaats insluit.",,"Это не настоящий череп, а воплощение злого духа.
Он появляется, когда какое-либо место окутывает тьма.",,"这并非真正的头骨，而是邪恶存在的化身。
它会在黑暗笼罩之处显现。"
WARG_DESC,"A wild warg who has been blessed with the powers of fire.
Can summon pillars of fire, which are hard to dodge, but easy to block.","Un lupo selvatico a cui è stato conferito il potere del fuoco.
Può evocare pilastri di fiamme che sono difficili da evitare, ma facili da parare.","Un huargo salvaje que ha sido bendecido con poderes de fuego.
Puede invocar pilares de fuego, los cuales son difícil de esquivar, pero fácil de bloquear.","Um lobo selvagem abençoado com os poderes do fogo.
Pode invocar pilares de chamas, difíceis de desviar, mas fáceis de bloquear.",,"Een wilde warg die gezegend is met de kracht van vuur.
Kan pillaren van vuur oproepen, die moeilijk te ontwijken zijn, maar makkelijk te blokkeren.",,"Дикий варг, наделённый силой огня.
Может вызывать огненные столбы, от которых трудно увернуться, но легко блокировать.",,"野生的狼，因被魔法加持获得了喷火的能力。
可以召唤大型火柱，躲避很困难，
但是用防御比较容易化解。"
KAMIKAZE_RAVEN_DESC,"A bird who has been blessed with the powers of fire.
Uses its own body to cause an explosion.","Un uccello a cui è stato conferito il potere del fuoco.
Usa il suo stesso corpo per causare un'esplosione.","Un pájaro que ha sido bendecido con poderes de fuego.
Usa su propio cuerpo para causar una explosión.","Uma ave abençoada com os poderes do fogo.
Utiliza seu próprio corpo para causar uma explosão.",,"Een vogel die is gezegend met de kracht van vuur.
Gebruikt zijn eigen lichaam om een explosie te maken.",,"Птица, наделённая силой огня.
Взрывает собственное тело.",,"一种获得火焰能力加持的凶鸟。
用自己的身体作为自杀性武器爆破敌人。"
MEDUSA_HEAD_DESC,"These heads resemble Medusa's head, but they are only a poor recreation of the former. Golden ones petrify.","Queste teste ricordano quelle di Medusa, ma in realtà sono solo una sua mera riproduzione. Quelle dorate pietrificano.","Estas cabezas se parecen a la de Medusa, pero solo son una pobre recreación de ella. Las doradas petrifican.","Essas cabeças se assemelham à cabeça de Medusa, mas são apenas uma fraca recriação do original.
As de cor dourada podem petrificar.",,"Deze hoofden stellen Medusa's hoofd voor, maar ze zijn alleen een slechte recreatie ervan. Gouden kunnen verstenen.",,"Эти головы напоминают голову Горгоны Медузы, но являются лишь жалкой имитацией.
Золотые окаменевают.",,"这些头颅虽然很像美杜莎的头，
但它只是拙劣的仿制品。
金色的变种有石化能力。"
DEVIL_DESC,"A grotesque creature summoned from the depths of Hell.
Moves unpredictably and can attack with both fire and ice.","Un'orribile creatura evocata dalle profondità dell'Inferno.
Si muove in modo erratico e può attaccare con il fuoco ed il ghiaccio.","Una criatura grotesca invocada de las profundidades del infierno.
Sus movimientos son impredecibles y puede atacar tanto con fuego como con hielo.","Uma criatura grotesca invocada das profundezas do Inferno.
Move-se de forma imprevisível e pode atacar com fogo e gelo.",,"Een grotesque beest opgeroepen vanuit de dieptes van de hel.
Beweegt zich onvoorspelbaar en kan aanvallen met vuur en ijs.",,"Страшное существо, вызванное из глубин Ада.
Непредсказуемо, может атаковать как огнём, так и льдом.",,"一种从地狱的深渊而来的恶心的生物。
以不规则的路线移动，并且可以操纵冰冻与火焰两种能力来攻击。"
UKOBACK_DESC,A little gremlin whose only purpose in life is to spread fires.,Un piccolo gremlin il cui unico scopo nella vita è quello di appiccare incendi.,Un duendecillo el cual su único propósito de vida es de esparcir fuegos.,Um pequeno gremlin cujo único propósito na vida é espalhar incêndios.,,Een klein aardmannetje wiens enige doel in het leven vuur verspreiden is.,,"Маленький гремлин, единственная цель жизни которого - разводить огонь.",,一种小鬼，它存在的唯一目的是布设火焰。
MEDUSA_DESC,A beautiful monster cursed with the power of being able to turn anything it sees to stone.,Un bellissimo mostro maledetto col potere di poter pietrificare qualsiasi cosa con il suo sguardo.,Un hermoso monstruo maldecido con el poder de poder convertir todo lo que ve en piedra.,Um belo monstro amaldiçoado com o poder de transformar em pedra tudo o que vê.,,Een prachtig monster vervloekt met de kracht waardoor alles wat het ziet in steen verandert.,,"Прекрасное чудовище, проклятое способностью превращать в камень всё, что оно видит.",,一种美丽的魔物，但是它被诅咒后拥有将其看见的物体变成石头的能力。
SKILLS_LEARNED_MESSAGE,Learned [color=yellow]%s[/color] and [color=yellow]%s[/color].,Imparato [color=yellow]%s[/color] e [color=yellow]%s[/color].,Haz aprendido [color=yellow]%s[/color] y [color=yellow]%s[/color].,Aprendeu [color=yellow]%s[/color] e [color=yellow] %s[/color].,Appris: ,Geleerd [color=yellow]%s[/color] en [color=yellow]%s[/color].,,Выучил [color=yellow]%s[/color] и [color=yellow]%s[/color].,,习得了 [color=yellow]%s[/color] 和 [color=yellow]%s[/color] 。
HINT_1,Press [[Square]] to attack.,Premi [[Square]] per attaccare.,Presiona [[Square]] para atacar.,Pressione [[Square]] para atacar.,Appuyez sur [[Square]] pour attaquer.,Druk [[Square]] om aan te vallen.,,Нажмите [[Square]] чтобы атаковать.,,按 [[Square]] 键进行攻击。
HINT_2,Press [[Cross]] to jump.,Premi [[Cross]] per saltare.,Presiona [[Cross]] para saltar.,Pressione [[Cross]] para pular.,Appuyez sur [[Cross]] pour sauter.,Druk [[Cross]] om te springen.,,Нажмите [[Cross]] чтобы прыгнуть.,,按 [[Cross]] 键跳跃。
HINT_3,"Press [[Start]] to
open the inventory.",Premi [[Start]] per aprire l'inventario.,"Presiona [[Start]] para
abrir el inventario.","Pressione [[Start]] para
abrir o inventário.","Appuyez sur [[Start]] pour
ouvrir l'inventaire.","Druk [[Start]] om de inventaris
te openen.",,"Нажмите [[Start]] чтобы
открыть инвентарь.",,"按 [[Start]] 键来
查看当前的装备。"
HINT_4,"Press [[Up]] to sit
on the chair and save the game.","Premi [[Up]] per sederti sulla sedia
e salvare la partita.","Presiona [[Up]] para sentarte
en la silla y guardar la partida.","Pressione [[Up]] para sentar-se
na cadeira e salvar o jogo.","Appuyez sur [[Up]] pour vous asseoir
et sauvegarder la partie.","Druk [[Up]] om te zitten op
een stoel en de game op te slaan.",,"Нажмите [[Up]] чтобы сесть
в кресло и сохранить игру.",,"按 [[Up]] 键坐在
椅子上并保存游戏的进度。"
HINT_5,You have obtained a skill.,Hai ottenuto un'abilità.,Has obtenido una habilidad.,Você obteve uma habilidade.,Vous avez acquis un talent.,Je hebt een vaardigheid verkregen.,,Получен новый навык.,,你习得了技能。
HINT_6,This wall hides something...,Questa parete è sospetta...,Esta pared oculta algo...,Esta parede parece suspeita...,Ce mur cache quelque chose...,Deze muur houdt iets achter...,,За этой стеной что-то есть...,,这墙的后面藏着什么...
HINT_7,Ice could break this.,Il ghiaccio lo potrebbe rompere.,Hielo podría romper esto...,Gelo pode quebrar isso.,"On pourrait briser ceci
avec de la glace.",Ijs zou dit kunnen breken.,,Это можно разрушить льдом.,,用冰冻可以破坏它。
HINT_8,"Press [[Cross]] while crouching to
drop off the platform.","Premi [[Cross]] mentre sei accovacciato
su una piattaforma per scendere.","Presione [[Cross]] mientras agachado para
bajarse de la plataforma.","Pressione [[Cross]] enquanto estiver agachado para
descer da plataforma.","Maintenez [[Down]] et appuyez sur [[Cross]]
pour descendre d'une plateforme.","Druk [[Cross]] terwijl je hurkt om
van het platform af te gaan.",,"Нажмите [[Cross]] в приседе чтобы
спрыгнуть с платформы.",,"在平台上蹲下时按 [[Cross]] 键
可以翻下平台。"
HINT_9,Press [[L1]] to backdash.,Premi [[L1]] per schivare all'indietro.,Presiona [[L1]] para esquivar hacia atrás.,Pressione [[L1]] para esquivar.,Appuyez sur [[L1]] pour esquiver.,Druk [[L1]] om achteruit te schuiven.,,Нажмите [[L1]] для рывка назад.,,按 [[L1]] 键进行急退。
HINT_10,Seems like a good place for devil forging.,"Sembra un buon posto per una
forgiatura diabolica.",Parece un buen lugar para la forja de demonios.,Parece um bom lugar para forjar um demônio.,"Ca m'a l'air d'être un bon endroit
pour forger un démon.",Ziet er uit als een goede plaats voor duivel smeden.,,Подходящее место для ковки демонов.,,这里似乎是进行恶魔精炼的好地方。
HINT_11,Press [[Cross]] while crouching to slide.,Premi [[Cross]] da accovacciato per fare una scivolata.,Presiona [[Cross]] mientras estés agachado para deslizarte.,Pressione [[Cross] enquanto estiver agachado para deslizar.,,,,"Нажмите [[Cross]] в приседе чтобы
сделать подкат.",,在平地上蹲下时按 [[Cross]] 键可以滑铲。
HINT_12,Press [[Circle]] to stand up.,Premi [[Circle]] per alzarti.,Presiona [[Circle]] para levantarte.,Pressione [[Circle]] para levantar-se.,Appuyez sur [[Circle]] pour vous lever.,Druk [[Circle]] om op te staan.,,Нажмите [[Circle]] чтобы встать.,,按 [[Circle]] 键可以起身。
HINT_13,If only there was a way to get rid of this log...,Se solo ci fosse un modo per sbarazzarsi di questo tronco...,Si tan solo hubiese una forma de deshacerse de este tronco...,Se ao menos houvesse uma maneira de se livrar desse tronco...,Si seulement on pouvait se débarasser de cette bûche...,Was er maar een manier om deze boomstam weg te doen...,,Был бы способ избавиться от этого бревна...,,If only there was a way to get rid of this log...
HINT_14,"This door won't budge.
There is a snake figure carved on it, with its eyes missing.","La porta non si apre.
C'è un serpente scolpito su di essa, al quale mancano gli occhi.","Esta puerta no se mueve
Tiene tallada una figura de serpiente, a la que le faltan los ojos.","Esta porta não se move.
Há uma figura de cobra esculpida nela, mas está sem os olhos.","Cette porte ne s'ouvre pas.
Il y a une gravure en forme de serpent dessus, il lui manque des yeux.","Deze deur gaat niet open.
Er is een slangen figuur ingekerft, met zijn ogen missend.",,"Эта дверь не поддаётся.
На ней вырезана змея, у которой нет глаз.",,"这扇门纹丝不动。
门上雕刻着一条蛇，而它的眼睛不见了。"
HINT_15,You have inserted the serpent eyes.,Hai inserito gli occhi del serpente.,Has insertado los ojos de serpiente.,Você inseriu os olhos de serpente.,Vous avez inséré les yeux de serpent.,Je hebt de serpent ogen er in geplaatst.,,Вы вставили змеиные глаза.,,你把蛇之眼放到门上了。
HINT_16,The gate is locked.,Il cancello è chiuso.,El portón está cerrado.,O portão está trancado.,,De poort is op slot.,,Ворота закрыты.,,大门已经关闭了。
HINT_17,The gate has been opened.,Il cancello è stato aperto.,El portón se ha abierto.,O portão foi aberto.,,De poort is geopend.,,Ворота открыты.,,大门现在开启了。
HINT_18,Press [[Down]] + [[Cross]] to dive kick during a double jump.,"Premi [[Down]] + [[Cross]] per eseguire un calcio in picchiata
dopo aver effettuato un doppio salto.",Presiona [[Down]] + [[Cross]] durante un doble salto para realizar una patada en picada.,Pressione [[Down]] + [[Cross]] para realizar um chute descendente após um pulo duplo.,,Druk [[Down]] + [[Cross]] om te duik stampen tijdens een dubbele sprong.,,"Нажмите [[Down]] + [[Cross]] чтобы пнуть в падении
во время двойного прыжка.",,在二段跳后按 [[Down]] + [[Cross]] 可以进行下踢。
HINT_19,The flooded area is now accessible again.,L'acqua nella stanza sommersa è stata prosciugata.,,A área inundada está acessível novamente.,,,,,,被水淹没的区域现在可以重新进入了。
GEMSTONE_REQUIRED,A gemstone can be inserted here.,Si può inserire una gemma qui.,Una gema puede ser insertada aquí.,Uma gema pode ser inserida aqui.,,Een edelsteen kan hier in gestoken worden.,,Сюда можно вставить драгоценный камень.,,好像这里能放一块宝石。
GEMSTONE_INSERTED,The gemstone has been inserted.,È stata inserita la gemma.,La gema ha sido insertada.,A gema foi inserida.,,Een edelsteen is hier ingestoken.,,Драгоценный камень вставлен.,,宝石已经被放入。
INTRO_TEXT,"1480, Wallachia

Four years have passed since the end of the curse that infested the land. Just when it seemed that peace was restored, great forces of the night reawaken, filled with thirst for blood and rage towards all living creatures. Fighting with torment and courage -- Hector, a man who once embraced the darkness -- seeks to find the source of the rebirth of evil.

With the return of despair, the hearts of humans sink into the endless cesspit of hatred, becoming murderous and ending thousands of miserable, innocent lives. Once again, the weak are slain and the strong prevail -- just as Lord Dracula had ordained time ago.

Even without the presence of the King of the Night, the world has been promised a future of condemnation, as it is inevitably led to the path of destruction.

From now on, the morrow is to be seen differently.
","1480, Wallacchia

Sono passati quattro anni dalla rottura della maledizione che ha infestato il paese. La pace sembrava quasi tornata, ma a distruggerla nuovamente è il risveglio di grandi forze oscure, con grande sete di sangue e astio verso ogni creatura vivente. Combattendo con tenacia, ma anche con sgomento -- Hector, un uomo un tempo fedele alle tenebre -- cerca di trovare la causa della resurrezione del male.

La disperazione ritorna, i cuori degli esseri umani sprofondano negli abissi più oscuri dell'odio, diventando assassini e ponendo fine a migliaia di infelici vite innocenti. Ancora una volta, i deboli vengono uccisi mentre i forti prevalgono -- come prestabilito tempo fa dal Conte Dracula.

Anche senza la presenza del Signore delle Tenebre, il mondo, a cui è stata promessa la dannazione, si sta dirigendo inevitabilmente verso la via della distruzione.


Da questo punto in poi, il futuro è visto diversamente.","1480, Wallaquia

Cuatro años han pasado desde el fin de la maldición que infestó la tierra. Justo cuando parecía que la paz se había restablecido,
grandes fuerzas de la noche despiertan de nuevo, llenas de sed de sangre e ira hacia todas las criaturas vivientes. Luchando con
tormento y coraje -- Héctor, alguien que una vez aceptó la oscuridad -- busca encontrar el origen del renacimiento del mal.

Con el retorno de la desesperación, los corazones de los humanos se hunden en un eterno pozo de odio, volviéndose en asesinos
y acabando con miles de vidas miserables e inocentes. Nuevamente, los débiles son asesinados y los fuertes prevalecen
-- tal como lo había ordenado el Señor Drácula hace tiempo.

Incluso sin la presencia del rey de la noche, al mundo se le ha sido prometido un futuro de condenación, ya que inevitablemente
es llevado al camino de la destrucción.

A partir de ahora, el mañana deberá verse de otra manera.","1480, Valáquia

Quatro anos se passaram desde o fim da maldição que assolava estas terras. Quando enfim parecia que a paz havia sido restaurada, grandes forças da noite despertam novamente, tomadas por sede de sangue e ódio contra todas as criaturas vivas. Entre tormento e coragem, Hector — um homem que outrora abraçara as trevas — busca a origem do renascimento do mal.

Com o retorno do desespero, os corações humanos afundam no abismo do ódio, tornando-se assassinos e ceifando milhares de vidas miseráveis e inocentes. Mais uma vez, os fracos são abatidos e os fortes prevalecem — exatamente como o Lorde Drácula havia decretado tempos atrás.

Mesmo sem a presença do Rei da Noite, ao mundo foi prometido um futuro de condenação, conduzido inevitavelmente pelo caminho da destruição.

De agora em diante, o amanhã jamais será visto da mesma forma.","1480, Wallachie.

Quatre ans se sont écoulés depuis la fin de la malediction qui infestait le pays. A peine la paix semblait être restaurée, que de grandes forces de la nuit se réveillèrent, emplies d'une soif de sang, et de rage envers tout être vivant. Combattant vaillament malgré ses tourments, Hector, un homme qui jadis eut embrassé ses tenebres, cherche à trouver la source de la renaissance du mal.

Une fois que le désespoir revint, les humains virent leurs cœurs s'enfoncer dans un gouffre de haine, s'adonnant à leurs pulsions meurtrières et mettant fin a d'innombrables vies innocentes. Les forts pietinaient les faibles, comme Dracula l'avait ordonné des années plus tôt,

Même sans la présence du Maître de la Nuit, le monde fut promis un avenir de désolation, puisqu'il a été mené vers la voie de la destruction.

Pour le moment, une autre vision du lendemain se présente.
","1480, Wallachia

Vier jaar zijn voorbij sinds het einde van de vloek die het land kwelde. Net wanneer het lijkt alsof de vrede was hersteld, herontwaken de grootse krachten van de nacht, gevuld met dorst voor bloed en woede tegen alle levende wezens. Vechtend met kwelling en moed -- Hector, een man die vroeger de duisternis tot zich nam -- zoekt de bron van de wedergeboorte van het kwaad.

Met het terugkeren van wanhopigheid, zinken de harten van mensen in een eindeloze put van haat, waardoor ze moordlustend worden en duizenden miserabele, onschuldige levens eindigen. Opnieuw, worden de zwakken gedood en alleen de sterken overleven -- precies zoals Graaf Dracula zich aan geweid had tijden geleden.

Zelfs zonder de aanwezigheid van de Koning van de Nacht, heeft de wereld een toezegging tot een toekomst van veroordeling, zal het onvermijdbaar leiden tot een pad van verwoesting.

Van nu af aan, is de volgende dag heel anders gezien.",,"1480 год, Валахия

Прошло четыре года с тех пор, как прекратилось проклятие, поразившее эту землю. Именно тогда, когда казалось, что мир был восстановлен, великие силы ночи вновь пробудились, преисполненные жажды крови и ярости по отношению ко всем живым. Сражаясь с болью и мужеством, Гектор, человек, который когда-то принял тьму, стремится найти источник возрождения зла.

С возвращением отчаяния сердца людей погружаются в бездонную выгребную яму ненависти, становясь кровожадными и унося тысячи несчастных невинных жизней. И снова слабых убивают, а сильные одерживают верх - так, как повелел лорд Дракула давным-давно.

Даже без присутствия Короля Ночи миру было обещано будущее, являющееся приговором, ведь оно неизбежно приведет его на путь разрушения.

Отныне завтрашний день будет восприниматься по-другому.",,"1480年，瓦拉几亚

距离解除德古拉留在这片土地上的诅咒已过去了四年。就在民众以为和平已经到来之时，夜之一族的强大力量再次醒来，它们嗜血成性，对一切生物充满仇恨。曾一度拥抱黑暗的海克特，如今却在痛苦与勇气中奋战，誓要找到黑暗复苏的根源。

随着绝望的回归，人类的心灵也沉沦于无尽的仇恨深渊，变得嗜杀成性，无数无辜的生命就此陨落。弱者再次被杀，强者再次获胜——正如德古拉伯爵早已预言的那样。

即便没有夜之主人的存在，世界也注定走向混沌，与毁灭之路。

从今往后，我们将以不同的视角看待明天。"
-Names-,,,,,,,,,,
HECTOR,Hector,Hector,Héctor,Hector,Hector,Hector,هكتور,Гектор,,海克特
CARMILLA,Carmilla,Carmilla,Carmilla,Carmilla,Carmilla,Carmilla,كارميلا,Кармилла,,卡蜜拉
,Trevor,,,Trevor,,Trevor,,,,拉尔夫.C
,Grant,,,Grant,,Grant,,,,格兰特
,Julia,,,Julia,,Julia,,,,茱莉亚
-Abandoned Monastery entrance-,,,,,,,,,,
DIALOG_MONASTERY_1,"So this is the monastery that emanates evil power.
There is no doubt about it then...","Quindi questo è il monastero che emana energia oscura.
Allora non c'è nessun dubbio a riguardo...","Así que este es el monasterio que emana poder maligno.
No hay duda al respecto...","Este mosteiro... sinto um poder maligno partindo deste lugar.
Disso não tenho dúvidas...","Alors voici le monastère d'ou émane ce pouvoir maléfique. 
Ça ne fait donc aucun doute...","Dus dit is het klooster dat kwaadaardige kracht uitstraalt.
Er is geen twijfel mogelijk dan...",,"Значит сие монастырь, от которого исходит злая сила.
Теперь сомнений нет...",,"看来这就是那个散布邪恶力量的修道院。
是的，我的感觉没错..."
DIALOG_MONASTERY_2,The curse is returning.,La maledizione è tornata.,La maldición está regresando.,A maldição está voltando.,La malédiction est de retour.,De vloek is terug aan het komen.,,Проклятие возвращается.,,【诅咒】又回来了。
